ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC,SC,RoofHTC,ExWallHTC,exWinAirtightness,HeatingLoad,CoolingLoad
2,0,wuxi,6,3,13453,11,1,0.12,0.32,0.12,0.33,2.7,0.69,0.575,0.7,6,21.29,53.97
4,0,suzhou,3,3,73041,24,2,0.89,0.89,0.89,0.89,1.3,0.33,0.32,0.34,6,79.27,120.62
5,0,suzhou,3,3,34433,2,2,0.35,0.14,0.32,0.29,2.2,0.58,0.51,0.6,6,72.92,96.8
8,1,wuxi,7,3,8654,11,1,0.05,0.07,0.38,0.27,2.2,0.49,0.631,1.1,6,20.46,15.65
9,1,taizhou,7,3,7980,6,6,0.03,0.33,0.03,0.24,2.86,0.28,0.747,0.868,6,19.26,5.67
11,1,suqian,7,3,4030,7,1,0.28,0.1,0.1,0.37,3.003,0.1,0.59,0.78,6,4.09,4.88
12,1,suqian,7,2,5103,6,1,0.26,0.86,0.1,0.43,3,0.1,1.1,1.1,6,1.92,3.65
14,0,0tong,6,3,7456,2,2,0.63,0.2,0.22,0.1,0,0.89,0.4,1.9,3,111.38,125.93
15,0,zhenjiang,1,3,60807,3,3,0.24,0.24,0.23,0.25,2.85,0.24,0.49,0.56,6,40.66,36.92
16,0,xuzhou,3,2,46565,17,1,0.46,0.51,0.46,0.49,1.8,0.46,2,0.4,4,11.59,46.46
17,0,wuxi,3,3,32978,7,7,0.58,0.59,0.68,0.7,1.6,0.44,0.44,0.45,3,42.96,59.2
18,1,taizhou,7,3,2847,6,0,0.01,0.33,0.21,0.21,2.9,0.8,0.71,0.71,6,6.78,11.66
19,0,xuzhou,3,2,33297,19,1,0.78,0.72,0.79,0.74,1.75,0.61,0.4,0.37,4,124.15,150.28
20,0,changzhou,1,3,4739,4,1,0.17,0.04,0.49,0.49,3.2,0.53,0.55,1.33,6,100.69,116.82
21,1,lianyungang,7,2,3134,6,6,0.07,0.3,0.13,0.34,2.5,0.84,1.8,2.3,4,27.26,28.66
23,0,wuxi,7,3,17034,12,3,0.11,0.29,0.21,0.37,2.9,0.86,0.51,0.74,6,35.16,62.21
24,0,yangzhou,3,3,23631,14,4,0.27,0.26,0.32,0.35,2.4,0.38,0.58,0.58,6,20.87,28.71
25,0,suzhou,3,3,27938,16,1,0.36,0.57,0.27,0.29,2.2,0.5,0.5,0.5,6,87.67,2.91
26,1,lianyungang,7,2,4069,6,6,0.03,0.14,0.09,0.22,3,0.84,0.462,0.751,4,28.54,29.43
27,1,suzhou,7,3,3832,2,2,0.46,0.72,0.72,0.86,2.6,0.45,0.72,0.72,6,30.87,47.51
28,1,suzhou,7,3,1199,6,6,0.21,0.21,0.21,0.21,2.7,0.05,0.46,0.84,6,14.68,22.72
29,1,xuzhou,7,2,2423,6,0,0.09,0.27,0.24,0.2,2.5,0.09,0.39,0.4,6,41.4,1.2
30,0,changzhou,3,3,2414,3,0,0.58,0.7,0.65,0.52,2.27,0.36,0.52,1.92,3,62.17,81.29
31,0,xuzhou,3,2,34357,6,32,0.71,0.22,0.57,0.57,1.9,0.37,0.394,0.397,3,2.53,50.03
32,0,huaian,5,3,2703,4,4,0.04,0.39,0.04,0.27,2.82,0.83,0.42,0.77,6,96.69,119.12
33,1,lianyungang,3,2,3797,6,6,0.01,0.23,0.01,0.15,2.9,0.84,0.467,2.9,7,25.21,11.68
34,1,huaian,7,3,4481,2,2,0.08,0.08,0.27,0.24,3,0.89,0.55,1.83,4,19.21,28.14
35,1,changzhou,7,3,15286,2,6,0.09,0.21,0.33,0.25,3.2,0.21,0.69,0.66,6,14,24.65
36,0,0jing,3,3,11194,5,1,0.29,0.52,0.25,0.48,2.4,0.3,0.837,2.4,3,23.18,51.98
37,0,wuxi,3,3,188133,22,2,0.86,0.89,0.83,0.79,1.7,0.27,0.56,0.68,4,18.52,50.73
38,0,0tong,3,3,44354,24,4,0.64,0.7,0.65,0.7,1.3,0.36,0.54,0.7,3,78.24,113.16
40,1,lianyungang,7,2,4180,6,2,0.09,0.28,0.03,0.25,2.5,0.84,0.389,0.905,4,21.95,21.97
41,1,wuxi,7,3,9914,11,1,0.03,0.14,0.02,0.24,0,0.24,0.673,0.91,6,16.82,11.07
42,1,xuzhou,7,2,4643,7,1,0.02,0.01,0.28,0.23,2.4,0.5,0.326,0.481,6,12.66,12.1
43,1,taizhou,7,3,3605,5,6,0.06,0.23,0.38,0.24,2.4,0.56,0.56,0.51,6,9.18,5.32
44,0,yangzhou,3,3,5481,3,3,0.36,0.07,0.4,0.28,2.46,0.35,0.45,0.64,6,117.58,133.9
45,1,huaian,7,3,4284,6,6,0.3,0.25,0.05,0.05,3,0.15,0.67,0.94,4,28.23,39.14
46,1,taizhou,7,3,9536,13,6,0.05,0.04,0.34,0.22,2.8,0.33,0.83,0.83,6,17.61,8.78
47,1,xuzhou,7,2,10081,19,1,0.09,0.02,0.34,0.23,2.2,0.7,0.406,0.473,6,12.97,35.9
48,0,wuxi,3,3,33054,31,1,0.44,0.06,0.52,0.07,2.7,0.45,0.604,1.5,6,15,47.02
49,1,suzhou,7,3,8831,8,1,0.06,0.06,0.41,0.37,0,0.06,0.6,0.67,6,20.59,21.12
50,1,0jing,7,3,3880,6,2,0.34,0.19,0.08,0.08,2.6,0.81,0.53,0.53,3,17.67,29.61
52,0,0jing,3,3,12466,8,1,0.4,0.46,0.52,0.25,2.9,0.4,0.508,0.541,4,16.87,46.72
53,1,xuzhou,7,2,3877,6,2,0.36,0.25,0.18,0.17,2.9,0.56,0.48,1.07,6,20.49,0
54,1,huaian,7,3,5102,11,1,0.32,0.24,0.07,0.06,3,0.86,0.68,0.61,6,24.38,33.69
55,0,xuzhou,2,2,2492,3,2,0.42,0.44,0.5,0.09,2.25,0.34,0.389,0.433,3,112.37,184.61
56,1,lianyungang,7,2,741,3,,0.11,0.11,0.1,0.05,2.9,0.84,0.286,0.484,7,23.64,29.85
57,0,suzhou,1,3,55675,6,,0.14,0.13,0.09,0.14,2.7,0.53,0.46,0.8,4,0.04,0
58,0,suzhou,1,3,87529,2,1,0.24,0.2,0.24,0.2,2.7,0.41,0.57,0.64,7,70.09,0
59,1,taizhou,7,3,2024,4,1,0.12,0.12,0.27,0.2,3.2,0.12,0.46,0.6,7,15.22,10.71
60,1,suzhou,7,3,647,4,6,0.06,0.27,0.29,0.06,2.8,0.44,0.48,0.55,6,34.94,53.79
61,0,yancheng,3,3,7263,9,3,0.22,0.08,0.5,0.44,2.3,0.5,0.52,0.35,1,81.31,91.28
62,1,taizhou,7,3,6247,6,,0.13,0.28,0.13,0.13,0,0.13,0.61,0.6,4,27.17,26.17
63,0,wuxi,1,3,24481,3,2,0.45,0.38,0.52,0.48,1.8,0.47,0.65,0.82,6,18.5,33.17
64,1,wuxi,7,3,2948,8,6,0.32,0.23,0.1,0.1,3,0.86,0.43,0.63,6,12.96,6.28
65,1,suzhou,7,3,1457,3,6,0.37,0.29,0.05,0.05,2.5,0.5,0.47,0.47,6,13.08,20.13
66,0,suzhou,1,3,8632,5,5,0.18,0.17,0.03,0.03,3.4,0.69,0.63,0.67,6,32.15,47.8
