ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
1007,0,zhenjiang,3,3,17253.11,3,3,0.08,0.23,0.22,0.33,2.2,2.2,2.2,2.2,0.43,0.43,0.43,0.43,0.42,0.72,2.2,2.2,3,116.83,150.32
1016,1,suzhou,7,3,3278.08,5,1,0.24,0.24,0.24,0.24,2.89,2.89,2.89,2.89,0.72,0.72,0.72,0.72,0.57,0.95,0.97,0.5,6,23.86,27.24
1017,1,nanjing,7,3,5615.17,18,6,0.022,0.525,0.443,0.625,2.11,2.11,2.11,2.11,0.625,0.625,0.625,0.625,0.28,1.12,1.26,1.4,6,13.55,2.98
1026,1,suzhou,7,3,6210.18,7,2,0.4,0.13,0.19,0.11,2.6,2.6,2.6,2.6,0.89,0.89,0.89,0.89,0.54,0.78,1.16,0.71,6,38.98,70.86
1027,1,suzhou,7,3,1050.47,6,6,0.3,0.15,0.06,0.09,2.4,2.4,2.4,2.4,0.42,0.42,0.42,0.42,0.45,0.65,0.65,,7,13.93,20.14
1036,1,taizhou,7,3,2969.52,6,6,0.02,0.02,0.36,0.33,2.4,2.4,2.4,2.4,0.4,0.4,0.4,0.4,0.61,0.63,2.16,2.65,6,11.77,6.43
1037,1,taizhou,7,3,3514.64,6,6,0.31,0.31,0.31,0.31,3.2,3.2,3.2,3.2,0.84,0.84,0.84,0.84,0.5,0.65,0.66,0.03,4,7.21,7.01
1046,0,nantong,3,3,5397.8,2,2,0.47,0.36,0.13,0.17,2.6,2.6,2.6,2.6,0.38,0.38,0.38,0.38,0.4,0.75,1.41,0.47,6,138.91,173.65
1047,0,changzhou,3,3,98840.84,33,3,0.88,0.88,0.88,0.88,1.66,1.66,1.66,1.66,0.3,0.3,0.3,0.3,0.59,1.7,0.58,1.73,4,34.93,57.34
1056,1,wuxi,7,3,9702,23,3,0.01,0.35,0.01,0.21,2.4,2.4,2.4,2.4,0.56,0.56,0.56,0.56,0.4,0.54,2,1.46,7,25.53,48.29
1057,1,changzhou,7,3,13348,2,2,0.36,0.28,0.08,0.11,3.2,3.2,3.2,3.2,0.4,0.4,0.4,0.4,0.69,0.83,1.02,0.49,8,32.82,50.43
106,1,suzhou,7,3,6057.5,2,2,0.26,0.3,0.15,0.15,2.3,2.3,2.3,2.3,0.4,0.4,0.4,0.4,0.55,0.55,1.39,0.66,6,25.59,37.88
1066,0,suzhou,3,3,32341,18,8,0.18,0.17,0.08,0.08,2.6,2.6,2.6,2.6,0.55,0.55,0.55,0.55,0.54,0.64,0.55,0.83,4,17.05,0
1067,1,taizhou,7,3,4806.96,6,6,0.23,0.23,0.23,0.23,3.4,3.4,3.4,3.4,0.78,0.78,0.78,0.78,0.62,0.57,0.75,1.3,6,3.84,4.06
107,1,nanjing,7,3,3682.67,6,6,0.04,0.04,0.35,0.28,2.79,2.79,2.79,2.79,0.87,0.87,0.87,0.87,0.6,1.38,0.32,0.32,4,55.98,40.9
1076,1,xuzhou,7,2,12351.17,31,2,0.28,0.44,0.43,0.7,2,2,2,2,0.71,0.71,0.71,0.71,0.44,0.71,0.69,0.43,6,14.05,17.78
1077,1,nantong,7,3,3220,6,0,0.08,0.08,0.25,0.25,3,3,3,3,0.45,0.45,0.45,0.45,1.3,1.04,0.62,0.8,4,23.11,35.01
1086,0,suzhou,3,3,2803.94,3,3,0.22,0.14,0.15,0.15,2.7,2.7,2.7,2.7,0.4,0.42,0.42,0.42,0.94,0.94,1.8,1.39,6,1.94,1.94
1087,1,yangzhou,7,3,3594.31,6,6,0.73,0.59,0.59,0.33,1.77,1.69,2,2.8,0.59,0.59,0.33,0.56,0.39,0.54,0.71,0.72,6,8.68,10.26
1096,0,suzhou,4,3,20689.59,2,2,0.37,0.27,0.1,0.43,3.4,3.4,3.4,3.4,0.6,0.6,0.6,0.6,0.6,0.68,1.39,1.39,2,69.93,74.09
1097,1,yangzhou,7,3,14469,19,6,0.03,0.37,0.04,0.09,2.3,2.3,2.3,2.3,0.31,0.63,0.3,0.49,0.611,0.649,1.51,0.993,6,15.65,12.73
1106,0,suzhou,6,3,3962.92,2,0,0.23,0.23,0.23,0.23,2.92,2.92,2.92,2.92,0.38,0.38,0.38,0.38,0.5,0.5,2.5,2.5,6,70.09,76.54
1107,0,yangzhou,3,3,7997,5,3,0.36,0.57,0.4,0.28,2.7,2.7,2.7,2.7,0.14,0.14,0.14,0.14,0.618,0.619,0.618,0.228,3,22.14,47.9
1116,0,wuxi,5,3,107401.39,27,7,0.26,0.28,0.37,0.37,2.6,2.6,2.6,2.6,0.39,0.39,0.39,0.39,0.34,0.36,0.77,0.37,2,130.32,152.26
1117,0,xuzhou,2,2,46397.84,16,1,0.48,0.5,0.45,0.55,1.8,1.8,1.8,1.8,0.61,0.61,0.61,0.61,0.478,0.472,0.545,0.22,3,114.23,172.42
1126,1,nanjing,7,3,8616,9,9,0.607,0.612,0.856,0.996,1.97,2.96,3.09,2.97,0.514,0.26,0.06,0.2,0.607,0.612,0.607,0.607,6,20.01,11.06
1127,1,lianyungang,7,2,2446,6,6,0.34,0.34,0.34,0.34,2.6,2.6,2.6,2.6,0.65,0.65,0.65,0.65,0.445,0.888,1.99,1.06,4,32.62,21.24
1136,1,lianyungang,7,2,2321,6,6,0.33,0.33,0.33,0.33,2.8,2.8,2.8,2.8,0.65,0.65,0.65,0.65,0.436,0.802,1.61,0.764,4,48.34,33.89
1137,1,lianyungang,7,2,4533.83,6,6,0.06,0.09,0.14,0.14,3,3,3,3,0.72,0.72,0.72,0.72,0.363,0.976,1.38,2.98,5,35.78,18.97
1146,0,nanjing,5,3,18600,7,1,0.06,0.41,0.08,0.33,2.7,2.7,2.7,2.7,0.5,0.5,0.5,0.5,0.65,1.17,0.95,0.06,5,20.89,22.41
