ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
4,5,1,7,3,813,3,2,2,4,4,4,4,2,100,1,4,3,2,2,6,2,2,3,0,1,5,2,5,63.4716
8,5,2,7,3,1341,3,1,2,2,2,4,5,1,40,1,6,3,2,2,4,2,2,1,0,1,5,3,6,72.27024
9,9,11,5,2,3471,3,2,2,3,2,4,10,995,100,1,1,3,2,2,1,2,2,6,0,2,5,6,6,92.01997667
10,4,0,8,1,4023,3,1,2,2,2,4,5,3,90,1,2,4,2,2,6,2,2,1,0,2,5,0,1,61.73931707
17,3,2,7,3,2617,1,1,2,1,1,4,2,1,100,2,3,3,2,2,5,2,2,5,0,2,3,1,6,18.20816667
19,6,9,4,1,5563,3,1,1,3,3,4,7,2,100,1,10,2,2,1,6,2,2,1,0,2,4,4,6,62.26153521
21,2,2,6,3,1332,3,2,2,1,6,4,3,1,90,2,10,3,2,2,1,2,2,1,0,2,3,2,3,34.70638298
27,8,4,5,2,2799,3,1,2,3,2,4,10,994,90,1,1,3,2,1,6,2,2,2,0,1,5,5,7,79.9792481
35,6,2,8,1,6087,2,1,2,2,3,4,7,3,97,1,2,4,2,2,6,2,2,1,0,2,5,4,8,38.26115556
43,7,5,5,2,2270,3,2,2,3,2,4,7,4,95,2,10,3,2,2,6,2,2,2,0,2,4,3,7,84.35046
49,2,9,7,3,1366,3,2,2,1,2,4,4,1,100,1,3,3,2,2,5,2,2,1,0,1,4,2,9,84.81289474
50,7,10,8,1,5334,3,1,2,3,2,4,6,4,90,2,2,4,2,1,4,2,2,2,0,3,4,3,6,71.35348795
68,4,0,5,2,3204,3,2,2,2,2,4,4,5,35,2,2,3,2,2,7,2,2,3,0,2,3,0,7,113.1427879
75,9,1,2,2,4141,3,1,2,3,4,4,11,995,98,1,5,1,2,1,1,1,1,1,0,1,7,2,4,123.111322
79,9,1,4,2,3880,3,2,2,3,2,4,10,8,100,2,9,2,2,1,6,2,2,2,0,2,4,4,6,56.4718175
81,8,2,3,1,6150,3,2,2,3,2,4,10,9,100,1,2,2,2,2,6,2,2,2,0,2,6,4,8,44.42458305
82,6,2,9,3,1123,2,2,2,2,2,4,8,14,70,1,2,4,2,2,2,2,2,3,0,1,5,4,2,35.61186905
86,3,2,9,3,1456,3,2,2,1,2,2,3,2,100,2,3,4,2,2,2,2,2,1,0,1,3,2,9,18.63603175
90,2,2,5,3,942,3,1,2,1,2,4,3,1,100,2,2,3,2,2,4,2,2,1,0,1,4,4,6,9.925625
99,2,2,3,1,4899,3,2,2,2,1,4,2,1,100,2,2,2,2,2,4,2,2,1,1,2,3,4,7,43.44
107,9,0,1,1,4085,3,1,2,2,3,4,9,7,64,1,2,1,2,1,1,2,2,1,0,3,4,0,1,50.54654891
109,9,1,5,2,3068,2,1,2,3,4,4,10,12,100,1,8,3,2,1,1,1,1,2,2,1,7,3,5,77.61007333
112,4,9,1,1,5679,3,1,2,3,3,4,4,2,80,2,10,1,2,1,4,2,2,1,0,3,3,2,4,122.5554146
114,6,0,9,5,3757,3,1,2,2,2,2,7,2,100,1,2,4,2,2,6,2,2,2,1,1,5,0,7,62.36862264
125,4,2,8,1,4083,3,2,2,2,2,4,4,1,100,2,10,4,2,2,4,2,2,1,0,2,4,3,9,75.12272727
126,3,2,3,1,7027,3,2,2,1,1,4,4,2,100,2,4,2,2,2,6,2,2,3,0,2,3,2,7,29.3020202
129,2,8,5,2,2299,3,2,2,1,5,4,3,1,90,2,2,3,2,2,5,2,2,1,0,2,4,3,9,27.08942857
131,8,2,2,2,3408,3,1,1,2,4,4,9,3,100,1,5,1,2,1,6,1,1,2,0,3,7,2,6,156.648351
135,2,0,9,3,1932,3,2,2,2,2,4,2,3,75,2,2,4,2,2,3,2,2,1,0,3,3,0,1,81.6925
140,3,2,5,2,4397,3,2,2,1,1,4,4,1,100,1,3,3,2,2,4,2,2,1,0,1,4,2,4,23.59037736
143,2,3,3,1,7390,3,1,2,2,1,4,3,2,100,1,2,2,2,1,6,2,2,3,1,2,3,2,5,33.87535354
146,2,1,2,1,4828,3,2,2,6,2,4,2,3,100,1,2,1,2,1,2,2,1,4,0,2,7,2,2,65.18387097
151,4,2,9,3,621,1,2,2,1,2,4,5,1,95,2,2,4,2,2,1,2,2,3,0,1,3,1,6,16.9436
155,10,4,5,7,4076,3,2,2,4,4,4,10,11,100,2,8,3,2,2,1,1,2,1,0,2,4,3,7,48.66181643
160,4,2,9,3,2282,3,0,0,2,2,2,5,2,100,1,1,4,0,0,1,2,2,3,0,2,4,4,10,25.81568182
164,7,2,9,5,2265,3,1,2,2,3,4,9,4,90,1,1,4,2,1,1,2,2,1,2,1,3,4,6,402.11285
166,2,2,7,2,2447,3,2,2,6,6,4,3,1,100,2,3,3,2,2,3,2,2,1,0,1,3,2,6,23.5094
167,8,2,3,1,5120,3,1,2,3,4,4,10,994,84,1,1,2,1,1,6,1,2,6,0,1,5,5,4,128.0993729
169,5,2,5,3,130,1,2,2,1,0,4,7,4,90,1,2,3,2,2,1,2,2,2,0,3,4,4,5,66.59792683
174,7,1,2,1,4485,3,2,2,2,2,4,8,4,78,2,2,1,2,2,1,2,2,2,0,1,4,4,6,67.78633962
177,2,2,2,1,4952,3,2,2,5,5,4,3,1,100,1,2,1,2,2,1,2,2,1,0,3,4,3,5,81.03043478
198,7,11,5,2,4784,3,2,2,2,2,4,7,6,95,1,1,3,2,2,6,2,2,1,0,2,4,4,6,51.34252113
204,3,2,5,2,3989,2,2,2,5,5,4,3,1,100,1,3,3,2,2,5,2,2,5,0,2,5,2,9,47.88866667
215,4,2,5,2,2518,1,2,2,5,5,4,5,2,30,2,2,3,2,2,6,2,2,1,0,1,3,3,4,138.6912
221,8,9,9,3,1404,1,0,0,2,3,4,8,6,32,1,2,4,0,0,1,2,2,7,2,2,4,5,10,18.60869412
222,2,2,7,3,2782,1,2,2,6,6,4,2,1,100,1,3,3,2,2,5,2,2,5,0,1,4,1,6,7.034166667
227,9,2,9,5,4388,3,2,2,3,2,4,10,995,97,2,2,4,2,2,1,2,2,2,0,2,4,5,8,52.640435
234,3,0,4,1,6000,2,1,1,2,2,4,2,3,33,2,2,2,2,1,6,2,2,1,1,2,2,0,1,10.05506667
236,8,2,5,2,3382,3,1,2,3,3,4,9,9,90,1,1,3,2,1,1,2,2,3,0,1,5,3,5,72.85976522
241,7,11,7,3,1216,3,2,2,3,2,4,9,6,100,1,2,3,2,1,1,2,1,1,1,2,7,4,6,195.474
247,7,2,1,1,5611,3,2,2,3,3,4,9,10,75,2,2,1,2,1,6,2,2,2,0,1,4,5,5,107.2812907
256,4,2,5,2,3944,3,2,2,5,5,4,6,1,100,2,9,3,2,2,4,2,2,1,0,2,3,3,6,180.3147143
257,7,0,5,2,3089,3,2,2,2,2,4,9,9,90,1,1,3,2,2,6,2,2,2,0,2,4,0,7,47.86356962
