ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
1,289356,Office,1963,2,100,Whole Building,Not Available,305.6,303.1,38139374.2,11082770.5,762051,619.4
2,3693539,Hospital (General Medical & Surgical),1969,12,100,Whole Building,55,229.8,228.8,332365924,96261312.1,3889181,404.3
3,152765,Hospital (General Medical & Surgical),1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,231342,Not Available
4,891040,Hospital (General Medical & Surgical),1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1305748,Not Available
5,211400,Hospital (General Medical & Surgical),1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,179694,Not Available
6,2230742,Hospital (General Medical & Surgical),1932,12,100,Whole Building,55,359.9,359,86335350.5,24550859.4,2971874,414.2
7,245000,Mixed Use Property,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245000,Not Available
10,3750565,Multifamily Housing,1974,4,100,Whole Building,Not Available,143974.4,143976,Not Available,Not Available,2738875,151172.9
11,3750565,Other,1974,1,100,Whole Building,Not Available,1138.3,1091.5,227658.1,63979.9,200,3574.2
12,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
13,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
14,3750565,Multifamily Housing,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,912892,Not Available
15,,Multifamily Housing,1903,2,100,Whole Building,93,32,Not Available,11241926.1,3249755.2,432503,87.9
16,212656,Multifamily Housing,1903,1,100,Whole Building,1,295.4,316.8,3477064.5,1004824,172656,352.2
17,,Hospital (General Medical & Surgical),1950,2,100,Whole Building,80,352.7,Not Available,62425429.2,18295844.6,567517,599.5
18,567517,Hospital (General Medical & Surgical),1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,567517,Not Available
19,53917,Medical Office,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58893,Not Available
20,,College/University,1907,7,100,Whole Building,Not Available,120,125.2,17958140.6,5217062.4,598000,188.7
21,,Multifamily Housing,1939,2,100,Whole Building,72,76.2,79.9,3968641.7,1121931.8,321464,103.3
